,City,Latitude,Temperature (F),Wind Speed (mph),Cloudiness (%),Humidity (%)
331,Abonnema,4.71,75.79,3.6,0,94
332,Luwuk,-0.95,82.27,3.15,24,87
333,Seleron,41.13,51.01,10.31,0,55
334,Sahbuz,39.41,41,2.24,90,86
335,Paragominas,-3,75.07,3.15,76,95
336,Storforshei,66.4,24.08,4.83,80,90
337,Port Keats,-14.25,80.56,17.25,20,79
338,Tianpeng,28.88,48.79,11.21,100,100
339,Port Hedland,-20.31,75.2,4.7,0,64
340,Tumanyan,40.99,19.72,1.92,76,94
341,Bud,62.91,32.14,27.51,88,59
342,Santo Andre,-0.91,75.52,2.93,48,96
343,Sao Filipe,14.9,70.84,19.04,0,95
344,Havoysund,71,30.2,16.11,88,92
346,Kupang,-10.16,75.2,1.12,20,100
347,Port Augusta,-32.49,58.15,8.05,90,72
349,Najran,17.54,75.2,6.93,0,36
350,Hualmay,-11.1,70.12,3.15,0,74
351,Gladstone,-23.84,73.2,11.41,90,64
352,Makat,47.65,32.14,4.16,0,69
353,Naze,5.43,75.88,3.6,0,91
354,Erzin,36.95,51.73,6.93,75,93
355,Southbridge,42.08,58.59,16.11,1,58
356,Nabire,-3.36,73.54,1.92,88,85
357,Mount Isa,-20.73,66.2,10.29,0,39
358,Trairi,-3.28,82.36,4.94,56,100
359,Cabedelo,-6.97,80.6,6.93,40,94
360,Hameenlinna,61,34.83,5.82,90,93
361,Puerto El Triunfo,13.27,87.8,10.29,0,55
362,Conde,-11.81,78.67,8.08,92,99
363,Gualeguay,-33.15,73.09,5.95,92,86
364,Skiathos,39.16,41,4.7,20,75
365,Beloha,-25.17,67.42,5.95,36,82
366,Khani,41.96,35.6,2.24,0,68
367,Vestmannaeyjar,63.44,38.8,11.88,92,100
368,Saint George,39.45,41.85,0.47,20,75
369,Wanning,48.64,40.75,5.82,0,81
370,Lagoa,37.14,57.69,4.7,75,82
371,Nauta,-4.51,81.1,0.58,44,86
372,Cayenne,4.94,78.8,4.7,36,78
374,Jieshi,22.82,67.51,23.29,92,100
375,Porbandar,21.64,75.07,12.44,0,75
377,Tiarei,-17.53,88.43,5.82,20,66
379,Marawi,8,72,5.99,8,78
380,Minsk,53.9,41,6.71,0,80
381,Srednekolymsk,67.46,14.86,2.93,36,76
382,Oranjestad,12.52,82.4,23.04,20,74
383,Husavik,50.56,34.27,7,64,45
384,Bexhill,50.84,47.84,3.36,12,93
386,Yar-Sale,66.83,30.16,21.05,92,91
387,Aviles,43.55,55.96,2.24,20,93
388,Richards Bay,-28.77,68.14,5.39,0,97
389,Enugu,6.45,76.42,5.95,32,91
391,Hatillo,18.49,75.38,8.05,90,94
392,Tongling,30.93,49.15,6.17,88,65
393,Tautira,-17.73,88.43,5.82,20,66
395,Foz,43.57,45.27,6.4,20,1
396,La Ronge,55.1,30.2,3.36,90,74
397,Poso,-1.4,79.84,3.38,36,100
398,Nishihara,35.74,48.13,6.93,90,100
399,Netrakona,24.88,68.5,6.62,32,95
400,Olinda,-2.03,84.52,11.41,75,66
401,Necochea,-38.55,66,1.01,0,90
402,Mercedes,-33.25,69.94,5.06,80,95
403,Cabo San Lucas,22.89,81.52,10.29,5,30
404,Saraland,30.82,70.05,13.87,20,64
405,Mersing,2.43,77.59,2.71,24,100
408,Hun,50.34,47.44,3.36,0,65
409,Hit,33.64,57.88,13.44,100,96
410,Tavda,58.04,29.44,16.58,12,86
411,Namatanai,-3.66,82.36,3.83,76,100
413,Norwalk,33.91,75.69,13.87,1,24
414,Radzyn Podlaski,51.78,40.03,1.12,24,86
415,Savannah Bight,16.45,79.75,14.45,0,96
416,Mayo,63.59,44.6,5.82,20,39
417,San Buenaventura,27.06,72,7,92,49
418,Mnogovershinnyy,53.94,20.71,2.93,12,70
419,Ponta Delgada,37.73,55.18,18.34,20,82
420,Manaure,11.78,80.6,13.87,40,83
422,Bull Savanna,17.89,74.17,1.92,76,80
423,Komsomolskiy,67.55,29.62,11.65,88,94
424,Khromtau,50.26,22.06,9.19,0,77
425,Poum,41.28,33.04,1.7,0,77
426,Yumen,40.29,25.3,5.17,0,67
427,Opuwo,-18.06,60.04,3.6,0,90
428,Port Lincoln,-34.72,63.28,9.53,92,93
429,Bahia Blanca,-38.72,65.26,9.42,0,75
430,Sabla,12.75,75.7,2.71,0,62
433,Kuytun,54.34,24.04,6.17,76,70
435,Smithers,54.78,51.8,4.7,20,34
437,Sucha Beskidzka,49.74,42.75,1.12,0,80
438,Oranjemund,-28.55,60.4,14.45,88,93
440,Solhan,38.97,44.6,9.17,90,75
442,Hecun,29.94,45.55,3.49,88,70
443,Nelson Bay,-32.72,61.18,21.92,0,47
444,Watertown,44.9,30.7,19.46,75,54
445,Shafranovo,53.97,28.72,15.01,92,91
446,Huaicheng,23.91,65.8,3.38,92,100
447,Rosario,-34.31,73.99,5.17,36,77
448,Lazaro Cardenas,28.39,77.32,14.99,75,14
449,Muramvya,-3.27,55.99,2.04,36,93
450,Tessalit,20.2,76.15,8.19,0,28
451,Puro,13.13,74.89,3.15,80,96
452,Berlevag,70.86,30.2,11.41,75,86
453,Yashan,30.81,47.35,3.71,92,75
454,Borogontsy,62.67,14.32,2.71,0,66
455,Beringovskiy,63.05,33.94,8.3,76,93
456,Minab,27.15,64.87,1.12,0,88
457,Lindas,60.74,33.69,29.97,40,74
458,George,6.63,82.4,12.75,20,94
459,Moerai,-22.43,78.04,21.72,64,100
460,West Wendover,40.74,51.8,8.05,20,40
461,Lianzhou,24.79,63.37,2.59,92,98
464,Anadyr,64.73,33.01,26.84,40,74
465,Emerald,-23.53,68.95,18.34,90,56
466,San Joaquin,10.59,79.57,10.31,0,70
467,Fortuna,38.18,54.86,10.29,0,67
469,North Bend,43.41,59.58,17.22,1,76
470,Muli,22.62,76.96,10.65,0,31
472,Coahuayana,18.62,85.24,2.59,12,21
473,Mattru,7.62,81.82,5.61,12,67
475,Buchanan,5.88,80.6,3.94,20,88
476,Olecko,54.04,44.49,12.33,20,94
477,Wewak,-3.55,82.18,1.7,68,82
478,Macapa,0.05,82.4,3.36,75,94
479,Adrar,27.87,73.4,14.99,40,46
481,Gat,14.69,66.2,21.92,0,77
482,Kavieng,-2.57,82.18,5.28,32,100
483,Los Llanos de Aridane,28.66,60.8,8.05,64,72
484,Mustasaari,63.17,29.79,2.24,0,92
485,Vao,59.1,35.92,10.65,88,93
486,Skeldon,5.88,80.56,13.78,0,95
487,Kishorganj,24.43,68.5,6.62,32,95
488,Tailai,46.39,29.89,10.09,12,52
489,Shihezi,44.3,47.8,6.51,68,60
490,Tafresh,34.69,36.37,2.26,32,86
491,Alto Araguaia,-17.32,71.83,3.49,8,85
492,Caiaponia,-16.96,81.64,3.83,68,55
493,Wamba,2.14,66.34,2.71,12,95
494,Kedrovyy,56.17,39.2,11.18,40,86
496,Yokadouma,3.52,72.64,1.92,0,89
497,Ambon,47.55,47.25,5.82,0,93
499,Palauig,15.44,76.6,4.38,32,94
500,Fort Nelson,58.81,42.8,2.24,40,48
501,Luebo,-5.35,72.01,2.48,92,98
503,Roald,62.58,30.49,18.34,75,55
505,Alexandria,31.31,69.78,9.17,75,78
506,Atar,20.52,54.01,3.27,0,87
507,Luan,46.36,42.22,3.36,0,49
508,Atambua,-9.11,80.47,4.16,8,100
509,Moose Factory,51.26,15.8,9.17,1,52
510,Ahipara,-35.17,71.65,16.02,48,85
511,Akdagmadeni,39.66,20.35,4.16,20,78
512,Matara,-13.74,49.06,2.15,32,81
513,Nador,35.17,57.96,10.29,92,93
514,Grand Gaube,-20.01,75.51,3.36,20,88
515,Kantunilkin,21.1,80.38,8.05,40,61
516,Lamu,0.57,75.88,2.93,12,97
517,Ca Mau,9.18,79.03,3.83,8,93
518,Zyryanka,65.73,15.76,2.93,0,68
519,Ossora,59.24,30.34,16.13,92,98
520,Mutsu,41.29,34.36,14.99,90,86
521,Trimbak,19.93,61.57,3.04,0,80
522,Wasilla,61.58,45.63,5.82,1,45
524,Ulaangom,49.98,14.41,1.92,44,58
527,Inirida,3.87,76.69,3.38,48,92
528,Sabha,27.03,55.27,6.73,68,44
529,Portland,45.52,66.74,2.93,1,37
530,Montlucon,46.33,41,6.29,0,74
531,Monrovia,6.33,80.6,5.39,20,88
532,Kangasala,61.46,35.37,5.82,90,93
533,Haines Junction,60.75,37.99,2.71,44,58
534,Vila Velha,-3.71,79.88,2.24,75,83
535,Banja Luka,44.77,41,2.24,0,75
536,Sandomierz,50.68,37.11,1.12,0,100
537,Goure,13.98,80.02,10.87,0,22
538,Monroe,41.91,38.16,10.29,90,93
539,Nacala,-14.56,79.66,12.77,36,100
540,Cartagena,37.63,55.38,14.99,92,72
541,Sola,58.89,36.66,21.92,40,99
542,Chicama,-7.84,71.6,12.75,20,83
543,Laguna,27.52,84.2,10.29,90,28
544,Aksha,50.28,17.83,4.5,36,56
546,Touros,-5.2,82.4,4.7,40,88
547,Vanavara,60.35,22.06,7.07,64,77
548,Mbuji-Mayi,-6.13,68.86,2.82,76,96
549,Maba,24.68,61.84,2.71,92,100
550,Sisimiut,66.94,11.26,1.48,68,79
551,Russell,-33.01,77,3.36,0,47
555,Kushima,31.5,46.83,19.46,20,100
556,Tahoua,14.89,76.06,6.4,0,46
557,Peniche,39.36,55.53,2.24,0,87
558,Jiangyou,31.78,48.97,2.93,92,79
559,Jiwani,25.05,67.24,7.29,0,89
560,Mitsamiouli,-11.38,81.1,7.96,36,100
561,Jingdezhen,29.29,46.27,8.63,92,97
562,Byron Bay,-28.65,66.85,9.17,0,56
564,Medea,36.27,57.2,2.24,40,82
565,Espinosa,-14.92,70.12,9.19,0,73
566,Opmeer,52.7,46,5.82,75,93
567,Huarmey,-10.07,69.94,2.93,12,70
568,Vrangel,42.73,35.92,9.64,32,99
569,Zapotiltic,19.63,78.8,17.22,20,39
570,Pocone,-16.26,81.64,3.15,8,83
571,Naklo nad Notecia,53.14,45.66,5.82,0,75
572,Bouna,9.27,80.02,9.42,56,73
573,Dagda,56.09,41.14,17.02,20,69
574,Timbiqui,2.77,77.77,2.93,24,86
575,Guerrero Negro,27.97,72.82,16.02,20,42
576,Grindavik,63.84,34.14,14.99,75,86
577,Veliki Preslav,43.16,30.07,2.48,0,79
578,El Alto,-16.5,53.6,9.17,40,50
579,Ancud,-41.87,66.2,5.82,0,68
580,Tromso,69.65,30.33,11.41,90,99
581,Kidodi,-7.6,70.3,2.37,64,94
582,Karratha,-20.74,84.34,16.13,8,26
583,Katsuura,33.93,48.22,12.75,75,57
584,Mao,19.55,76.82,4.7,75,78
585,Kontagora,10.4,82.63,8.75,0,46
586,Iranshahr,27.21,54.73,2.48,0,51
587,Ucluelet,48.94,57.2,8.05,20,76
588,Neryungri,56.66,11.89,9.31,32,72
589,Altamira,-3.2,78.8,2.24,75,100
590,Mufulira,-12.55,64.99,7.63,0,61
591,Mwense,-10.39,65.35,2.26,0,89
592,Oktyabrskiy,55.61,41.72,6.71,0,80
593,Dubbo,-32.25,55.4,8.05,8,47
595,Itupiranga,-5.13,80.6,5.82,40,88
596,Nuuk,64.17,21.11,6.93,90,92
